SWE,Requirement,Responsibility,A,B,C_SC,C,D_SC,D,E
145,The designated Technical Authorities shall indicate their approval by signature in the compliance matrix itself when the comliance matrixis used to waive/deviate from applicable requirements.,Project,1,1,1,1,1,1,1
121,"Where approved, the project manager shall document and reflect the tailored requirement in the plans or procedures controlling the development, acquisition, and/or deployment of the affected software",Project,1,1,1,1,1,1,0
125,"Each project manager with software components shall maintain a compliance matrix or multiple compliance matrices against requirements in NPR 7150.2B, including those delegated to other parties or accomplished be contract vehicles or Space Act Agreements.",Project,1,1,1,1,1,1,1
139,"The projects shall comply with the requirements in NPR 7150.2B that are marked with a ""project"" responsibility and an X in Appendic C consistant with their software classification",Project,1,1,1,1,1,1,1
13,"The project manager shall develop, maintain, and execute software plans that cover the entire software life cycle and, as a minimum, address the requirements of this directive with approved tailoring.",Project,1,1,1,1,1,1,1
24,The project manager shall track the actual results and performance of software activities against the software plans.,Project,1,1,1,1,1,1,0
15,"The project manger shall establish, document, and maintain two cost estimates and associated const parameters for all software Class A and B projects that have and estimated project cost of $2 million or more or one software cost estimate and associated cost parameters for other projects.",Project,1,1,1,1,1,1,0
151,"The project manger's software cost estimate(s) shall satisfy the following conditions:
a. Covers the entire software lifecycle.
b. Is based on selected project attributes
c. Is based on the cost implications of the technology to be used and the required maturation of that technology.
d. Incorporates risk and uncertainty.
e. Includes the cost for software assurance support.
f. Includes other direct costs.",Project,1,1,1,1,1,1,0
16,"The project manger shall document and maintain a software schedule that satisfies the following conditions:
a. Coordinates with the overall project schedule.
b. Documents the interactions of milestones and deliverables between software, hardware, operations, and the rest of the system.",Project,1,1,1,1,1,1,0
18,"The project manger shall regularly hold reviews of software activities, status, and results with the project stakeholders and track issues to resulution.",Project,1,1,1,1,1,1,0
19,The project manager shall select and document a software development life cycle or model that includes phase transition criteria for each life cycle phase.,Project,1,1,1,1,1,1,0
17,"The project manager shall plan, track, and ensure project specific software training for project personnel.",Project,1,1,1,1,1,0,0
20,The project manger shall classify each system and subsystem containing software in accordance with the highest applicable software classification.,Project,1,1,1,1,1,1,1
132,The project's software assurance manager shall perform an independent classification assessment.,Project,1,1,1,1,1,1,1
133,"The project manager, in conjunction with the Saftey and Mission Assurance orgranization, shall determine the software safety criticality in accordance with NASA-STD-8719.13.",Project and Center S&MA,1,1,1,1,1,1,1
21,"If a system or subsystem evolves to a higher or lower software classification, or there is a change in the safety criticality of the software, then the project manager shall update their plan to fullfil the applicable requirements per the NPR7150.2B complicance matrix and approved tailoring.",Project,1,1,1,1,1,1,1
160,If a software component is determined to be safety critical then software component classification shall be D or higher.,Project,1,1,1,1,1,1,1
22,The project manager shall plan and implement software assurance per NASA-STD-8739.8.,Project and Center S&MA,1,1,1,1,1,1,0
141,"For projects reaching KDP, the program manger shall ensure that software IV&V is performed on the following categories of projects:
a. Category 1 projects as defined in NPR 7120.5
b. Catefory 2 projects as defined in NPR 7120.5 that have class A or B payload risk classification per NPR 8705.4.
c. Projects specifically selected be the NASA Chief, S&MA to have software IV&V",Project and Center S&MA,1,1,1,1,1,1,0
131,"If software IV&V is performed on a project, the project manager shall ensure that an IV&V Project Execution Plan is developed.",Project and Center S&MA,1,1,1,1,1,0,0
23,"When a project is determined to have safety-critical software, the project manager shall implement the requirements of NASA-STD-8719.13.",Project and Center S&MA,1,1,1,0,1,0,0
